,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Greenhouse Gas Emissions in British Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unit: MtCO2e,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2021,2007→2021,,2020→2021,,3-Year Trend,
,TOTAL1,54.7,53.3,52.2,54.9,57.3,61.1,63.2,62.3,63.2,64.7,65.7,66.8,63.7,63.8,66.0,64.2,62.8,63.8,64.2,60.8,60.9,60.3,60.4,61.7,61.1,61.0,63.4,64.4,66.2,65.2,61.4,62.0,,-1.8,-3%,+0.6,+1%,-4.2,-6%
,ENERGY,42.6,41.5,40.3,43.1,45.4,49.1,51.0,49.9,50.7,52.1,52.9,54.9,51.7,51.3,53.2,52.1,51.4,52.0,52.6,49.5,49.8,49.3,49.4,50.6,50.3,50.3,52.4,53.7,55.3,54.4,50.9,51.8,,-0.2,-0%,0.9,+2%,-3.4,-6%
,STATIONARY COMBUSTION,19.3,18.1,16.9,19.1,19.2,21.6,22.1,19.9,20.4,22.1,22.8,24.6,22.3,21.5,21.9,21.2,20.9,21.0,20.8,20.4,20.8,20.8,20.3,20.2,20.2,19.7,21.3,22.0,21.9,21.2,20.6,20.9,,-0.1,-0%,+0.3,+1%,-1.0,-5%
,Public Electricity and Heat Production ,0.8,0.5,0.9,2.0,1.8,2.3,0.6,1.1,1.8,1.0,2.1,2.6,1.2,1.0,1.3,1.3,1.5,1.4,1.8,1.7,1.5,1.1,0.7,0.9,0.8,0.8,1.0,0.9,1.0,1.0,0.7,0.9,,-0.4,-31%,+0.2,+31%,-0.1,-7%
,Petroleum Refining Industries,1.2,1.2,1.0,0.7,0.7,0.6,0.7,0.4,0.4,0.5,0.4,0.4,0.5,0.5,0.9,0.5,0.6,0.6,0.5,0.6,0.7,0.6,0.6,0.5,0.5,0.5,0.6,0.5,0.4,0.5,0.4,0.4,,-0.2,-31%,+0.1,+14%,+0.1,+16%
,Oil and Gas Extraction,2.1,1.4,0.7,0.8,1.6,2.7,3.4,2.1,3.0,4.3,3.2,4.3,4.5,4.8,5.2,5.1,5.7,6.2,6.3,6.5,6.8,7.0,6.9,6.9,7.0,6.8,7.2,7.4,7.4,6.8,7.0,6.8,,+0.6,+9%,-0.2,-3%,-0.7,-9%
,Mining,0.6,0.6,0.4,0.5,0.4,0.5,0.7,0.6,0.5,0.6,0.6,0.9,0.7,0.7,0.7,0.4,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.6,,-0.0,-2%,+0.0,+9%,+0.0,+9%
,Manufacturing Industries,6.5,6.2,5.5,6.0,6.2,7.0,7.6,7.1,6.6,7.3,7.8,7.8,6.7,6.8,6.4,6.1,4.6,4.5,3.8,3.8,3.8,4.0,4.1,4.1,4.4,4.4,4.7,4.9,5.0,4.5,4.0,4.0,,-0.5,-10%,+0.0,+1%,-0.9,-19%
,Construction,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,-0.0,-28%,-0.0,-10%,-0.0,-15%
,Commercial and Institutional,2.9,3.2,3.3,3.7,3.4,3.5,3.6,3.4,3.0,3.1,3.5,3.5,4.1,3.4,3.3,3.1,3.1,3.0,3.2,2.9,2.6,2.9,2.9,2.7,2.6,2.4,2.7,2.9,2.8,2.9,3.0,3.1,,+0.1,+3%,+0.1,+4%,+0.3,+13%
,Residential,4.5,4.4,4.2,4.8,4.5,4.5,5.1,4.7,4.6,4.9,4.7,4.6,4.4,4.1,4.0,4.5,4.5,4.5,4.4,4.4,4.4,4.4,4.1,4.0,3.8,3.8,3.9,4.3,4.0,4.2,4.3,4.4,,-0.1,-3%,+0.1,+2%,+0.3,+8%
,Agriculture and Forestry,0.3,0.4,0.4,0.4,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.3,0.3,0.4,0.4,0.4,0.4,0.6,0.6,0.6,0.6,0.6,0.5,,+0.4,+607%,-0.1,-10%,-0.1,-15%
,TRANSPORT2,18.8,18.9,19.0,19.5,20.5,21.5,22.4,23.3,23.7,23.6,23.7,23.5,23.0,23.6,25.0,24.2,23.8,24.3,24.5,22.6,22.5,21.6,22.5,23.9,23.8,24.8,25.9,26.8,28.2,28.0,25.2,26.5,,+2.2,+9%,+1.2,+5%,-1.8,-6%
,Domestic Aviation,1.3,1.2,1.2,1.1,1.1,1.3,1.4,1.5,1.5,1.6,1.5,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.4,1.2,1.2,1.1,1.3,1.3,1.3,1.3,1.3,1.5,1.6,1.6,0.9,1.1,,-0.3,-23%,+0.2,+24%,-0.5,-30%
,Road Transport,10.4,10.6,11.0,11.5,12.2,12.7,13.1,13.6,13.8,13.7,13.4,13.4,13.3,14.1,14.9,14.1,14.0,14.5,14.9,14.7,14.3,13.2,13.7,14.5,14.6,14.6,15.4,15.3,15.7,15.4,13.9,14.7,,+0.2,+1%,+0.8,+5%,-1.0,-6%
,Light-Duty Gasoline Vehicles,4.3,4.4,4.6,4.8,4.9,4.9,4.9,5.0,5.0,4.7,4.7,4.6,4.5,4.5,4.6,4.3,4.2,4.1,4.0,4.0,3.8,3.5,3.5,3.6,3.6,3.7,3.9,3.8,3.7,3.5,2.9,2.8,,-1.3,-31%,-0.1,-2%,-0.9,-24%
